"Gattung","Nummer","Gewicht","Fangdatum","Magenumf","ln_gewicht","log10_gewicht"
"L",38,3.18,"23.09.97",5.1,1.15688119679209,0.502427119984433
"L",3,3.22,"15.09.97",5.2,1.16938135955632,0.507855871695831
"L",5,3.57,"15.09.97",5.05,1.27256559579155,0.552668216112193
"L",11,2.08,"15.09.97",5.35,0.732367893713227,0.318063334962762
"L",27,3.35,"23.09.97",5.15,1.20896034583698,0.525044807036845
"L",58,4.94,"12.10.97",5.2,1.59736533119983,0.693726948923647
"L",8,4.51,"15.09.97",5.45,1.50629715351459,0.65417654187796
"L",35,4.55,"23.09.97",5.15,1.51512723296286,0.658011396657112
"L",14,3.33,"15.09.97",5.35,1.20297230399235,0.52244423350632
"L",20,5.21,"15.09.97",5.5,1.65057985576528,0.716837723299524
"L",40,3.24,"23.09.97",5.4,1.17557332980424,0.510545010206612
"L",15,4.87,"15.09.97",5.45,1.5830939370945,0.687528961214634
"L",34,3.94,"23.09.97",5.6,1.37118072330984,0.595496221825574
"L",10,3.42,"15.09.97",5.85,1.22964055107451,0.534026106056135
"L",16,3.16,"15.09.97",5.7,1.15057202759882,0.499687082618404
"L",7,6.95,"15.09.97",5.85,1.9387416595767,0.841984804590114
"L",1,2.99,"15.09.97",5.85,1.0952733874026,0.47567118832443
"L",9,5.22,"15.09.97",6.05,1.65249740189455,0.717670503002262
"L",12,4.64,"15.09.97",6.35,1.53471436623816,0.666517980554881
"L",17,6.46,"15.09.97",6.3,1.86562931779451,0.810232517995084
"L",28,5.98,"23.09.97",6.3,1.78842056796254,0.776701183988411
"L",53,8.69,"12.10.97",7.5,2.1621729392773,0.939019776448666
"N",48,0.06,"23.09.97",1.9,-2.81341071676004,-1.22184874961636
"N",8,0.065,"15.09.97",2.8,-2.7333680090865,-1.18708664335714
"N",47,0.125,"23.09.97",2.5,-2.07944154167984,-0.903089986991944
"N",25,0.155,"15.09.97",2.9,-1.86433016206289,-0.809668301829709
"N",10,0.16,"15.09.97",2.6,-1.83258146374831,-0.795880017344075
"N",5,0.17,"15.09.97",3.3,-1.77195684193188,-0.769551078621726
"N",42,0.19,"23.09.97",2.6,-1.66073120682165,-0.721246399047171
"N",36,0.3,"23.09.97",2.9,-1.20397280432594,-0.522878745280338
"N",9,0.37,"15.09.97",2.9,-0.994252273343867,-0.431798275933005
"N",50,0.405,"23.09.97",3.1,-0.903868211875598,-0.392544976785331
"N",34,0.56,"23.09.97",3.1,-0.579818495252942,-0.2518119729938
"N",32,0.56,"23.09.97",3.8,-0.579818495252942,-0.2518119729938
"N",37,0.625,"23.09.97",3,-0.470003629245736,-0.204119982655925
"N",33,0.63,"23.09.97",3.9,-0.462035459596559,-0.200659450546418
"N",51,0.635,"23.09.97",3.6,-0.454130280089445,-0.197226274708024
"N",40,0.645,"23.09.97",3.4,-0.438504962186365,-0.190440285364732
"N",55,0.645,"23.09.97",3.4,-0.438504962186365,-0.190440285364732
"N",52,0.645,"23.09.97",4.1,-0.438504962186365,-0.190440285364732
"N",35,0.65,"23.09.97",4.3,-0.430782916092454,-0.187086643357144
"N",23,0.67,"15.09.97",3.6,-0.400477566597125,-0.173925197299174
"N",29,0.685,"23.09.97",3.1,-0.378336440719912,-0.164309428507574
"N",24,0.77,"15.09.97",4.2,-0.261364764134408,-0.113509274827518
"N",38,0.785,"23.09.97",4,-0.242071561199729,-0.105130343254747
"N",21,0.815,"15.09.97",3.6,-0.204567165741274,-0.0888423912600234
"N",31,0.835,"23.09.97",3.6,-0.180323554131282,-0.0783135245163979
"N",28,0.84,"23.09.97",4.7,-0.174353387144778,-0.0757207139381184
"N",43,0.855,"23.09.97",3.8,-0.156653810045377,-0.0680338852718274
"N",27,0.855,"23.09.97",4.8,-0.156653810045377,-0.0680338852718274
"N",13,0.855,"15.09.97",3.7,-0.156653810045377,-0.0680338852718274
"N",12,0.87,"15.09.97",4.4,-0.139262067333508,-0.0604807473813815
"N",54,0.9,"23.09.97",4.5,-0.105360515657826,-0.0457574905606751
"N",15,0.91,"15.09.97",4.25,-0.0943106794712413,-0.0409586076789064
"N",44,0.91,"23.09.97",4,-0.0943106794712413,-0.0409586076789064
"N",18,0.94,"15.09.97",4.6,-0.0618754037180875,-0.0268721464003014
