FNETID,pres,Year,datatype,BCAlbX,BCAlbY,BEC,Elevation,Aspect,Slope,CTI,Rugg9,Tave_sm,MSP,PAS
393634,1,1998,PUB,977206.748,577596.855,AT,1613,-0.926974773,12.67621708,10.7023325,0.07074587,10.1,313,1222
404042,0,1998,NA,977976.612,577141.027,MH,1295,-0.437593549,32.76004791,9.680269241,0.099780239,11.5,304,873
422408,0,1995,NA,942576.612,576241.027,MH,908,-0.287490726,21.84937668,10.99176407,0.049107399,11.9,623,1296
431080,0,1997,NA,977776.612,575841.027,AT,1424,-0.238050938,23.33590889,10.74417877,0.112548262,10.5,679,1707
447722,0,1996,NA,977976.612,575041.027,MH,1075,0.910346329,6.351628304,12.98875332,0.075317197,11.3,375,840
451512,0,1995,NA,940976.612,574841.027,MH,928,-0.99596709,16.30053139,11.82616043,0.028387094,11.8,669,1395
455700,0,1999,NA,943776.612,574641.027,MH,1018,0.210666075,13.16410255,11.59713268,0.010646962,11,775,2075
456136,0,1995,NA,987376.612,574641.027,MH,1229,-0.5149436,10.73064327,10.15288162,0.062423989,10.8,389,875
456138,0,1996,NA,987576.612,574641.027,MH,1141,-0.289228737,28.62226868,11.04705906,0.070873588,11.1,367,747
456188,0,2004,NA,992576.612,574641.027,MH,950,0.159137547,23.28351021,12.15285492,0.02349844,13.2,567,396
457838,0,1995,NA,949576.612,574541.027,CWH,911,-0.358241439,5.739767075,12.75851154,0.011046798,11.9,514,1172
460358,0,1997,NA,993576.612,574441.027,MH,1370,-0.035721801,35.58132935,9.545199394,0.093723439,10.9,686,1301
476472,0,1996,NA,940976.612,573641.027,CWH,920,-0.433780789,12.75775242,11.38885212,0.019808074,11.6,729,1325
476964,0,1998,NA,990176.612,573641.027,MH,1207,0,2.363194704,10.50443077,0.080609359,11.9,316,656
488982,0,1996,NA,943976.612,573041.027,MH,940,0.792810678,13.23934364,12.061553,0.018975435,11.5,712,1322
499363,0,1997,NA,942076.612,572541.027,MH,946,0.205128193,8.285381317,12.18148899,0.021868575,12.3,1350,1976
509759,0,1996,NA,941676.612,572041.027,MH,1078,0,3.801725149,10.44191647,0.05405153,10.8,740,1567
524811,0,1999,NA,990876.612,571341.027,AT,1415,-0.115114838,17.13913155,12.33264446,0.052234791,10,507,1518
528890,0,1997,NA,982776.612,571141.027,AT,1351,0.382357359,31.02475357,12.2036581,0.032202262,11,573,1416
541374,0,1998,NA,983176.612,570541.027,AT,1521,-0.027434234,26.68976593,11.02086353,0.054830011,10.8,287,1034
549593,0,1997,NA,973076.612,570141.027,MH,977,0,4.126987457,14.6724987,0.003696771,12.5,658,1136
551884,0,1998,NA,994176.612,570041.027,MH,1268,-0.987849295,47.55197144,10.2197504,0.095570505,12,336,743
557698,0,1997,NA,951576.612,569741.027,MH,731,-0.99112463,22.95682907,13.20833969,0.102245942,13.5,1068,1358
560119,0,1998,NA,985676.612,569641.027,MH,1243,-0.503077984,7.088248253,11.29500675,0.121721059,11.9,278,775
563939,0,1997,NA,951676.612,569441.027,MH,855,-0.848522961,27.03341866,12.59122181,0.071079016,12.9,1084,1586
580891,0,1998,NA,982876.612,568641.027,MH,1140,-0.008715984,34.02098846,10.22846794,0.018288882,12.3,252,620
587129,0,1998,NA,982676.612,568341.027,MH,941,0.090781815,49.89083099,9.038778305,0.018294157,13.1,244,451
590938,0,1995,NA,947576.612,568141.027,MH,836,-0.406853646,22.40928268,11.11938763,0.008123327,12.3,590,1116
601762,0,1998,NA,989976.612,567641.027,MH,939,-0.995184898,34.54032516,10.97013664,0.01663208,13.3,262,435
605873,0,1997,NA,985076.612,567441.027,MH,1241,-0.872193277,34.19300079,10.69546413,0.068192467,11.4,638,1426
607864,0,1999,NA,976176.612,567341.027,AT,1300,-0.933745265,38.12887955,10.55113029,0.098518841,10.3,430,1624
608119,0,1997,NA,1001676.612,567341.027,MH,1117,-0.160871163,29.19433594,10.88581276,0.022259464,12.1,686,1195
609652,0,1995,NA,946976.612,567241.027,MH,916,-0.50680393,22.16241455,12.2033186,0.051415056,11.9,626,1112
610054,0,1999,NA,987176.612,567241.027,AT,1488,0.231964499,5.214287281,10.12878132,0.116248429,9.5,357,1529
612103,1,2002,PUB,984028.986,567168.228,AT,1566,-0.197954699,6.406200886,12.11789894,0.103104956,10,362,1284
613801,0,1996,NA,945876.612,567041.027,MH,717,-0.067829646,14.94440079,12.29543781,0.040626716,12.6,675,796
614234,0,1999,NA,989176.612,567041.027,MH,1217,0.996938884,36.35671997,9.516728401,0.104881473,10.6,353,1231
616250,0,2002,NA,982776.612,566941.027,MH,952,-0.266751438,22.68133926,12.89552879,0.027680103,12.4,315,665
620446,0,2004,NA,986376.612,566741.027,MH,1139,0.921430171,36.14431763,11.48824596,0.027779473,12.5,550,672
624276,0,1997,NA,953376.612,566541.027,MH,767,-0.202034175,16.03044891,10.45749474,0.020112779,13.4,1078,1291
624488,0,1996,NA,974576.612,566541.027,MH,1280,0.805956483,21.91310501,11.31013775,0.05987709,10.7,420,1277
630735,0,1996,NA,975276.612,566241.027,AT,1436,-0.144167155,39.00753784,11.61082458,0.037940413,10,427,1490
637006,0,1997,NA,978376.612,565941.027,AT,1549,0.176969096,17.55174637,10.86470413,0.136564657,10.1,763,1996
643293,0,1998,NA,983076.612,565641.027,MH,1014,-0.943355501,27.62887383,11.95367908,0.035703022,12.9,260,511
645030,0,1997,NA,948776.612,565541.027,MH,1171,-0.2690925,8.99591732,12.93819809,0.048457958,11.4,1305,2265
651375,0,1997,NA,959276.612,565241.027,MH,817,-0.604230404,5.909141541,12.11386871,0.004954209,13.5,858,1164
657608,0,1997,NA,958576.612,564941.027,MH,928,-0.473625839,13.58358002,10.63160229,0.03717041,13.1,909,1390
657811,0,1998,NA,978876.612,564941.027,AT,1476,-0.99834162,7.419091225,11.73169136,0.096783012,10.9,319,1074
657854,0,2001,NA,983176.612,564941.027,MH,1396,0.442714363,22.77388763,9.788306236,0.070454918,9.9,500,687
662008,0,2000,NA,982576.612,564741.027,AT,1408,0.056201398,27.0552597,9.128541946,0.065812856,10.6,466,948
662186,0,1998,NA,1000376.612,564741.027,MH,1177,-0.920931876,8.568616867,11.79611111,0.010904854,12.5,330,695
664343,0,1998,NA,1008076.612,564641.027,MH,949,-0.604846239,17.34123039,11.84243011,0.007102401,13.6,285,438
666123,0,1998,NA,978076.612,564541.027,MH,1113,0.973227382,45.42868423,10.58123779,0.026380375,12.4,319,716
668301,0,1997,NA,987876.612,564441.027,AT,1263,0.921516538,24.77551079,11.76417065,0.068177968,11.4,574,1346
668501,0,2002,NA,1007876.612,564441.027,MH,992,-0.774177372,6.084469795,12.83810902,0.005988039,12.5,361,710
