SPECIES	INDNR	SIZE	EGGLEN	EGGWID	DEVTIME	CLUTCHSZ	LONGEV	EPD	PHATCH
3	18	1.225	0.855	0.255	16	59	14	8.88	0.555555555555556
3	19	1.15	0.8625	0.26	18	74	16	16.2857142857143	0.15
3	20	1.175	0.88	0.255	18	28	13	1.6	0.16
3	21	1.2375	0.8675	0.25	18	73	15	10.6	0.75
3	22	1.2125	0.9525	0.2525	17	51	5	6.2	0.846153846153846
3	23	1.1125	0.9025	0.28	17	39.5	20	5.375	0.363636363636364
3	24	1.2375	0.9125	0.25	18	53	5	7.63	0.234042553191489
3	25	1.1875	0.8375	0.245	17	53	4	8.12	0.958
3	26	1.1	0.9275	0.2575	16	50	10	6	0.857142857142857
3	27	1.15	0.845	0.2625	18	57	10	7.4	0.894
3	28	1.2	0.8925	0.2625	17	51	7	6.2	0.785714285714286
3	29	1.025	0.8525	0.245	16	44	7	4.8	0.583333333333333
3	30	1.19	0.905	0.272	17	55	25	6.54	0.813559322033898
